action_id,capital_tier,magnitude_pct,composite_score,E_score,Ec_score,S_score,slope_per_unit,cost_efficiency_per_$1M
clean_manufacturing,economic_development,50.0,5.2230493853865125,3.3309100706164894,7.014844462032898,5.323393623510149,0.0010883552948186548,
clean_manufacturing,economic_development,75.0,5.223321474210217,3.3309100706164894,7.015497414723204,5.323556937290958,0.0010883552948186548,
clean_manufacturing,economic_development,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,0.0010883552948186548,
clean_manufacturing,economic_development,150.0,5.224137740681331,3.3309100706164894,7.017456272794122,5.324046878633383,0.0010883552948186548,
clean_manufacturing,economic_development,200.0,5.2246819183287405,3.3309100706164894,7.018762178174733,5.324373506194999,0.0010883552948186548,
university_research_center,settlement_social,25.0,5.222407855081735,3.3307587036438693,7.014258280255765,5.3222065813455695,0.001580943936250634,
university_research_center,settlement_social,50.0,5.2228030910657965,3.3308091593014097,7.014888975975014,5.322711137920968,0.0015809439362470812,
university_research_center,settlement_social,75.0,5.22319832704986,3.3308596149589493,7.015519671694262,5.3232156944963664,0.0015809439362541866,
university_research_center,settlement_social,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,0.0015809439362470812,
university_research_center,settlement_social,150.0,5.224384035002047,3.3310109819315694,7.017411758852008,5.324729364222564,0.001580943936250634,
university_research_center,settlement_social,200.0,5.225174506970171,3.3311118932466486,7.018673150290505,5.325738477373361,0.0015809439362470812,
tribal_energy_sovereignty,settlement_social,25.0,5.223300734456206,3.330777468996392,7.0158188633632665,5.3233058710089605,0.00039043810362215936,
tribal_energy_sovereignty,settlement_social,50.0,5.223398343982112,3.3308216695364243,7.015929364713347,5.323443997696563,0.00039043810362215936,
tribal_energy_sovereignty,settlement_social,75.0,5.223495953508017,3.330865870076457,7.016039866063429,5.323582124384164,0.00039043810362215936,
tribal_energy_sovereignty,settlement_social,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,0.00039043810361860665,
tribal_energy_sovereignty,settlement_social,150.0,5.223788782085732,3.330998471696555,7.0163713701136725,5.323996504446969,0.000390438103620383,
tribal_energy_sovereignty,settlement_social,200.0,5.223984001137542,3.3310868727766194,7.016592372813835,5.324272757822172,0.000390438103620383,
rural_broadband,settlement_social,25.0,5.2227095130436965,3.3309100706164894,7.015838259773465,5.321380208741135,1.1787333202981642e-08,3.3678094865661836e-06
rural_broadband,settlement_social,50.0,5.223004196373772,3.3309100706164894,7.01594229565348,5.322160222851346,1.178733320301717e-08,3.367809486576334e-06
rural_broadband,settlement_social,75.0,5.223298879703846,3.3309100706164894,7.016046331533495,5.322940236961555,1.1787333202981642e-08,3.3678094865661836e-06
rural_broadband,settlement_social,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,1.178733320301717e-08,3.367809486576334e-06
rural_broadband,settlement_social,150.0,5.224182929694073,3.3309100706164894,7.0163584391735405,5.325280279292186,1.178733320301717e-08,3.367809486576334e-06
rural_broadband,settlement_social,200.0,5.224772296354222,3.3309100706164894,7.01656651093357,5.326840307512606,1.1787333202981642e-08,3.3678094865661836e-06
health_clinic,settlement_social,25.0,5.223563538469887,3.3309100706164894,7.016150367413511,5.32363017737966,4.003275204667034e-05,8.896167121482298e-06
health_clinic,settlement_social,50.0,5.2235735466578985,3.3309100706164894,7.016150367413511,5.323660201943695,4.003275204667034e-05,8.896167121482298e-06
health_clinic,settlement_social,75.0,5.22358355484591,3.3309100706164894,7.016150367413511,5.32369022650773,4.003275204667034e-05,8.896167121482298e-06
health_clinic,settlement_social,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,4.003275204667034e-05,8.896167121482298e-06
health_clinic,settlement_social,150.0,5.223613579409945,3.3309100706164894,7.016150367413511,5.323780300199836,4.003275204667034e-05,8.896167121482298e-06
health_clinic,settlement_social,200.0,5.223633595785969,3.3309100706164894,7.016150367413511,5.323840349327908,4.0032752048446696e-05,8.896167121877044e-06
workforce_retraining,settlement_social,25.0,5.222914154206738,3.3309100706164894,7.0157428500661325,5.322089541937593,9.058784362458994e-07,0.00010657393367598817
workforce_retraining,settlement_social,50.0,5.223140623815799,3.3309100706164894,7.015878689181926,5.322633111648983,9.058784362423466e-07,0.00010657393367557019
workforce_retraining,settlement_social,75.0,5.22336709342486,3.3309100706164894,7.016014528297718,5.3231766813603745,9.058784362458994e-07,0.00010657393367598817
workforce_retraining,settlement_social,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,9.058784362458994e-07,0.00010657393367598817
workforce_retraining,settlement_social,150.0,5.224046502252045,3.3309100706164894,7.016422045645097,5.324807390494548,9.058784362458994e-07,0.00010657393367598817
workforce_retraining,settlement_social,200.0,5.224499441470168,3.3309100706164894,7.016693723876683,5.3258945299173295,9.058784362458994e-07,0.00010657393367598817
affordable_housing,settlement_social,25.0,5.222359939122964,3.3309100706164894,7.016150367413511,5.320019379338893,3.2896637625512428e-06,1.8275909791951347e-05
affordable_housing,settlement_social,50.0,5.222771147093284,3.3309100706164894,7.016150367413511,5.321253003249851,3.289663762558348e-06,1.8275909791990822e-05
