geoid,county_name,state,risk_score,eal_score,eal_valt,sovi_score,resl_score,wildfire_risk_score,wildfire_eal_score,wildfire_eal_total,wildfire_annualized_frequency,riverine_flood_risk_score,riverine_flood_eal_score,riverine_flood_eal_total,riverine_flood_annualized_frequency,drought_risk_score,drought_eal_score,drought_eal_total,drought_annualized_frequency,heat_wave_risk_score,heat_wave_eal_score,heat_wave_eal_total,heat_wave_annualized_frequency,winter_weather_risk_score,winter_weather_eal_score,winter_weather_eal_total,winter_weather_annualized_frequency,hail_risk_score,hail_eal_score,hail_eal_total,hail_annualized_frequency,strong_wind_risk_score,strong_wind_eal_score,strong_wind_eal_total,strong_wind_annualized_frequency,wrc_total_buildings,wrc_buildings_fraction_me,wrc_buildings_fraction_ie,wrc_buildings_fraction_de,wrc_bp_national_rank,wrc_risk_national_rank,mtbs_fire_count_2000_2024,mtbs_burned_acres_2000_2024
30049,Lewis and Clark,MT,71.2468193384224,76.45420792079209,34838116.159035794,21.21501272,83.30152671755725,92.84351145038168,93.8295165394402,2546506.0828727423,0.0023614598066720996,64.56743002544529,70.76113861386139,12360092.912534595,1.0714285714285714,22.83715012722646,25.76744186046512,9009.11331899944,76.09969166935893,35.38856775850995,42.129918800749536,213047.18496158786,0.6957945176359175,98.12221514958625,98.48297213622291,1567054.0055585974,43.815244437868486,10.241730279898219,15.348837209302326,38203.164316660295,0.7749411768298683,21.246819338422394,28.403100775193796,225718.29363628203,0.5144138846157918,47550.0,0.085888538,0.4526393269999999,0.461472135,0.878,0.913,56,500494.0
30057,Madison,MT,41.030534351145036,51.17574257425742,15269589.277961697,18.44783715,40.93511450381679,87.34096692111959,88.96310432569975,1096033.6641521722,0.001001882492523258,29.834605597964376,39.63490099009901,4143599.740959264,0.32142857142857145,29.834605597964376,33.922480620155035,29630.531550578402,91.83576192220022,5.65189466923571,8.869456589631481,8286.081406050942,0.16165417114453784,57.41565881604074,64.42724458204334,99200.11943379641,42.13371282162457,24.427480916030532,32.49612403100775,106264.83076064456,0.37504240895149643,5.152671755725191,9.085271317829458,42177.068006256886,0.3366557950831425,13716.0,0.00058326,0.154272383,0.845144357,0.7179999999999999,0.772,27,88295.0
30055,McCone,MT,5.248091603053435,6.714108910891089,3481570.092775924,25.38167939,17.016539440203562,48.56870229007634,52.2264631043257,48212.86387340438,0.0011932240771112283,5.629770992366412,7.240099009900989,869847.192223619,0.7857142857142857,28.403307888040715,31.37984496124031,21766.238872638234,39.62787015043548,17.951188182402056,22.11118051217989,55716.69353255306,2.7368685650102007,26.28898790579249,32.35294117647059,27433.888687832838,19.263341489053,57.156488549618324,62.883720930232556,378629.7888146036,1.9174244215976617,22.487277353689567,28.868217054263567,229051.3870289293,1.7456271539407464,3972.0,0.017371601,0.3162134939999999,0.666414904,0.643,0.669,34,77451.0
30059,Meagher,MT,2.798982188295165,2.444306930693069,2152324.0370385796,51.14503817,15.489821882951654,68.41603053435115,68.54325699745547,140417.31424018543,0.0006489797291052595,9.701017811704835,10.179455445544553,1161863.070163822,0.21428571428571427,20.769720101781168,22.2015503875969,4288.927806370536,85.62945368171026,3.853564547206165,6.46470955652717,3198.74248021044,0.4220127420808993,45.607893061744115,46.31578947368421,49802.632056243034,42.235679066425654,13.39058524173028,15.5968992248062,39094.21162707756,1.0617830865713138,3.562340966921119,5.984496124031008,18219.71818224847,0.5986474544354371,3628.0,0.000275634,0.272050717,0.7276736489999999,0.678,0.746,11,38163.0
30063,Missoula,MT,77.03562340966921,85.42698019801979,56666730.908264294,10.62340967,79.54834605597965,95.76972010178118,96.94656488549617,6818101.28527787,0.006613900886130745,68.63867684478372,80.25990099009901,19006978.057160374,1.0357142857142858,15.966921119592875,18.728682170542633,1451.5569306761317,28.487193987436413,53.500321130378936,67.02061211742661,675288.3923052268,1.1618217436627682,80.61744112030553,87.4922600619195,331142.77001934533,50.851480924693455,13.295165394402037,23.65891472868217,66725.19733859977,0.45481640099199994,21.055979643765905,35.224806201550386,292491.17220490373,0.27403495005388034,60139.0,0.117743893,0.455095695,0.4271604119999999,0.958,0.961,256,2100770.0
30065,Musselshell,MT,17.048346055979643,12.592821782178218,4900384.414200052,74.30025445,25.06361323155216,91.92111959287533,90.7442748091603,1403018.7022862239,0.0037299799944294377,15.521628498727736,12.933168316831683,1407506.854650217,0.8928571428571429,24.87277353689567,25.488372093023255,8899.264460017403,70.34961047139043,17.597944765574823,17.988757026858213,36115.493041627844,2.1070519926603763,63.65372374283895,57.77089783281733,77335.72641670993,17.22630824305872,35.655216284987276,33.674418604651166,112345.78427759162,2.0566828845043474,9.60559796437659,10.263565891472869,51875.39884142055,0.917945923893391,6178.0,0.0,0.280349628,0.719650372,0.907,0.903,19,144715.0
30067,Park,MT,66.2849872773537,70.60643564356435,27752156.29659785,29.07124682,82.06106870229007,93.51145038167938,94.17938931297711,2704789.713656635,0.0023219706735280047,55.62977099236641,61.819306930693074,8539406.514477197,0.25,23.60050890585242,26.29457364341085,10024.239185754237,70.00992785709558,17.662170841361593,21.424109931292943,52488.098453049126,0.32483674217148006,82.33609166136219,84.42724458204334,255760.84652145582,22.043658072515733,43.51145038167939,49.92248062015504,223232.46881787243,0.6863059303977875,9.478371501272264,12.806201550387597,73410.32731796084,0.43039327487864515,16701.0,0.00053889,0.3525537389999999,0.646907371,0.884,0.907,14,116301.0
30069,Petroleum,MT,1.304071246819339,1.454207920792079,1647225.0975035988,27.38549618,12.913486005089059,66.47582697201018,68.6704834605598,141607.60156617264,0.004261100470560764,1.972010178117048,2.629950495049505,397938.0138750029,0.8214285714285714,17.65267175572519,20.0,2406.893432073476,70.94220110847188,5.330764290301863,8.15115552779513,6791.559212341779,2.8951270997601957,12.15786123488224,17.61609907120743,10504.942982322978,16.793239835906626,9.478371501272264,13.30232558139535,31397.95434165399,1.3472953145457554,1.55852417302799,4.124031007751938,6039.447843322692,0.7032780050795785,1184.0,0.000844595,0.2525337839999999,0.746621622,0.898,0.895,72,910075.0
30075,Powder River,MT,4.007633587786259,6.342821782178218,3388950.021367995,16.28498728,2.735368956743003,87.97709923664122,89.69465648854961,1229057.386829148,0.007906863365724453,7.824427480916031,11.540841584158416,1295625.7653648895,0.8928571428571429,17.270992366412212,19.968992248062015,2398.86539006939,75.65320665083138,9.730250481695569,13.460337289194255,20165.01988831541,2.2637295717571564,42.71164863144494,51.640866873065015,60287.14346966066,19.61603255926588,25.954198473282442,34.35658914728682,115340.62131850365,2.011103744584199,2.480916030534351,5.395348837209302,14457.142364146732,0.9037739758064659,4367.0,0.0,0.168307763,0.831692237,0.961,0.949,89,682292.0
30077,Powell,MT,9.955470737913485,8.60148514851485,4067090.352524125,58.14249364,19.43384223918575,86.35496183206108,85.7824427480916,684387.4804094967,0.004294685993036685,15.776081424936386,15.501237623762377,1609806.8651079491,0.2857142857142857,21.81933842239186,23.069767441860463,5236.767211983546,75.07918754872648,5.908798972382788,7.870081199250468,6210.597696376886,0.3890368328289358,74.72947167409293,72.78637770897834,139501.56367164446,46.4069492611343,10.527989821882953,12.527131782945736,28755.883141164424,0.6830535627112214,5.343511450381679,7.65891472868217,30975.60155783796,0.3681520774272173,7703.0,0.0,0.3136440349999999,0.6863559649999998,0.894,0.917,57,309036.0
