allotment_id,agency,allotment_name,county_geoid,county_name,authorized_aum,authorized_use_acres,source_url,vintage,status,manual_fetch_id
09271,USFS,KEELINE,56045,Weston,,56272.342,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09368,USFS,MARTENS,56045,Weston,,3354.554,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
06631,USFS,LATHAM CREEK,56009,Converse,,4742.756,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09254,USFS,WILD BILL,56009,Converse,,228.231,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09253,USFS,STEINLE,56009,Converse,,2367.016,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09113,USFS,NORFOLK,56005,Campbell,,14488.702,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09235,USFS,PELLATZ,56009,Converse,,1245.065,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
06624,USFS,HORSE CREEK,56009,Converse,,10225.26,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09272,USFS,SOUTH ROCHELLE HILLS,56045,Weston,,4627.949,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09273,USFS,STRINGER,56005,Campbell,,1087.529,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09114,USFS,PICKREL,56005,Campbell,,14107.998,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09117,USFS,WENANDE,56005,Campbell,,2676.068,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09118,USFS,YORK,56005,Campbell,,4327.708,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
06612,USFS,CURTIS GULCH,56001,Albany,,3171.125,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
06625,USFS,HORSESHOE,56009,Converse,,13511.967,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09237,USFS,BETTY DON,56009,Converse,,3058.713,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09233,USFS,MILLER HILLS,56009,Converse,,10132.954,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09238,USFS,REED,56009,Converse,,3369.223,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09242,USFS,SOUTH WRIGHT,56005,Campbell,,1006.918,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,CLOSED,usfs_grazing
09206,USFS,DOWNS,56009,Converse,,7675.2,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09201,USFS,ALEXANDER,56009,Converse,,16609.144,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09375,USFS,MURRAY,56045,Weston,,2571.274,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09204,USFS,DARLINGTON,56045,Weston,,13894.978,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
06653,USFS,WINDY MOUNTAIN,56009,Converse,,5145.027,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09240,USFS,SCHOOL CREEK,56005,Campbell,,22761.284,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09241,USFS,SPRING CREEK,56005,Campbell,,8773.579,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09207,USFS,FIELD,56045,Weston,,21988.76,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09303,USFS,REYNOLDS,56045,Weston,,1853.126,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09205,USFS,NORTH ANTELOPE,56005,Campbell,,13636.552,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09301,USFS,ADKINS,56045,Weston,,1673.342,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09304,USFS,BURR,56045,Weston,,221.437,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09306,USFS,JONES DRAW,56045,Weston,,1428.417,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09008,USFS,MIDDLE CELLARS COMMUNITY,56045,Weston,,4500.639,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
06633,USFS,MEADOW CREEK,56009,Converse,,9676.173,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
06635,USFS,NORTH LARAMIE RIVER,56001,Albany,,16330.833,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
06610,USFS,COW CREEK,56001,Albany,,7510.534,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09208,USFS,SHERWIN,56045,Weston,,12677.68,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
09212,USFS,IRWIN,56009,Converse,,20206.951,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
